,PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
33,6836,9,1755,2006-04-28,16,2.0,1.0,4,1,1,1987-05-03,2,0,0,0,4.8,4.5,4.5,4.58,306671,173780,10222380
34,4195,2,1709,2009-11-22,130,1.0,1.0,4,2,0,2003-11-24,2,3,0,3,4.8,3.2,4.3,4.2,452501,90500,12928590
35,3532,6,2114,2010-05-09,46,3.0,2.0,5,1,1,1989-05-14,0,3,0,3,2.7,3.0,3.9,3.27,632334,281037,17564820
36,3482,7,1226,2010-05-23,180,1.0,1.0,3,3,0,1983-05-30,1,0,4,0,4.0,3.7,4.7,4.19,154109,114339,4971250
37,2600,9,1648,2011-01-28,111,2.0,1.0,4,2,1,1998-01-31,2,3,4,1,4.3,2.9,2.0,2.98,275120,82536,9170660
38,1580,3,856,2011-11-07,36,1.0,1.0,3,1,1,1985-11-13,2,2,0,5,2.1,3.6,3.5,3.12,332269,103834,10383420
39,5113,0,904,2009-01-24,52,1.0,1.0,3,1,0,1969-02-03,0,1,1,5,3.8,3.2,2.6,3.08,348042,23203,11601400
40,761,3,1198,2012-12-21,105,1.0,1.0,3,3,0,1976-12-30,2,0,1,3,3.9,3.4,4.4,3.85,255727,98991,8249260
41,1712,7,931,2011-10-03,16,1.0,1.0,3,1,0,1993-10-07,0,0,4,0,4.0,4.2,2.4,3.42,291669,166668,6944500
42,4553,7,1290,2009-08-18,86,1.0,1.0,3,1,1,1961-08-30,1,0,4,3,3.1,2.1,4.1,3.2,364015,92940,7745000
43,3718,7,507,2010-03-23,49,1.0,1.0,2,0,1,1964-04-03,1,1,0,3,2.6,4.6,4.6,4.0,252032,74464,5728000
44,4145,6,2492,2009-12-06,113,4.0,2.0,6,0,0,1993-12-10,0,3,4,4,4.3,4.6,3.8,4.19,917550,224706,18725520
45,1796,7,851,2011-09-11,105,1.0,1.0,2,4,0,1982-09-18,1,0,1,1,4.0,3.8,2.5,3.34,167896,39295,3572250
46,6716,8,1882,2006-11-18,189,2.0,1.0,5,0,1,1985-11-23,2,1,0,5,3.9,4.5,4.7,4.366666666666667,433393,272877,16051580
47,4240,2,1710,2009-11-12,15,1.0,1.0,4,3,1,1998-11-15,0,0,0,3,2.7,4.0,2.2,2.825,808639,161728,20215970
48,2886,7,1412,2010-11-06,28,2.0,2.0,4,1,0,1982-11-13,1,1,0,4,4.1,2.9,3.1,3.34,251370,192717,8379000
49,6768,0,779,2006-10-12,51,1.0,1.0,2,3,0,1997-10-14,1,2,1,1,3.6,4.4,2.4,3.16,190463,31744,5290635
50,267,8,1655,2014-05-21,19,1.0,1.0,4,0,0,1980-05-29,2,0,0,3,2.1,4.3,3.9,3.46,376468,238430,12548930
51,3679,7,940,2010-04-03,167,1.0,1.0,3,1,0,1961-04-15,1,0,4,3,2.7,2.7,4.1,3.26,263599,64435,5857750
52,1183,6,1667,2012-02-26,126,2.0,1.0,4,4,1,2007-02-27,1,3,4,5,4.8,2.1,5.0,4.07,364810,268243,10729700
53,5503,6,1926,2008-08-12,49,3.0,2.0,5,2,1,1999-08-15,0,3,4,5,3.1,2.9,4.7,3.68,816325,153061,17006780
54,6102,0,718,2007-10-23,75,1.0,1.0,2,4,1,1977-10-30,2,1,1,1,2.0,3.9,3.4,3.08,211662,55701,5570050
55,1360,7,545,2012-01-12,154,1.0,1.0,2,4,0,1982-01-19,2,1,1,3,3.1,2.2,3.4,2.95,165738,88651,3854375
56,4480,7,1249,2009-09-12,25,1.0,1.0,3,1,1,1973-09-21,2,1,0,3,2.8,3.7,3.5,3.35,318010,120328,8594875
57,588,8,1894,2013-06-08,187,2.0,1.0,5,4,1,1968-06-19,1,2,0,4,2.0,3.7,4.4,3.505,406478,162591,13549250
58,1463,7,1469,2011-12-12,200,2.0,2.0,4,0,0,2006-12-13,0,2,1,1,4.7,2.0,2.4,2.97,284423,132731,9480750
59,5516,0,916,2008-08-08,32,1.0,1.0,3,3,1,1980-08-15,1,1,1,0,3.6,3.0,3.9,3.63,228053,23390,5847520
60,5761,3,934,2008-04-20,11,1.0,1.0,3,1,1,1986-04-26,1,3,4,5,3.4,4.0,3.8,3.76,310749,58265,9710900
61,2273,7,1691,2011-05-02,100,2.0,2.0,4,0,0,1980-05-09,1,3,0,5,4.0,3.9,3.5,3.77,319558,178576,9398750
62,2311,7,1236,2011-04-21,36,1.0,1.0,3,3,0,1972-04-30,0,2,4,2,3.3,3.3,2.0,2.78,334638,114481,8806250
63,6142,8,1577,2007-09-28,23,1.0,1.0,4,4,1,1971-10-07,2,3,4,3,3.8,4.7,3.9,4.07,302183,193397,12087330
64,2667,2,1915,2011-01-10,13,2.0,1.0,5,4,1,1970-01-20,2,3,0,3,4.6,2.3,4.5,3.985,354391,170107,14175620
65,864,2,1600,2012-09-30,154,1.0,1.0,4,2,1,1991-10-06,1,1,0,3,3.9,2.7,2.5,3.04,309941,166891,11920820
66,1677,9,1579,2011-10-14,58,2.0,1.0,4,0,1,1987-10-20,0,1,4,2,4.6,2.3,2.3,2.88,467766,240565,13364730
67,5558,0,1260,2008-07-21,89,2.0,2.0,4,4,0,1983-07-28,2,3,1,0,3.8,4.1,4.5,4.21,256150,34615,6922975
68,4083,0,1021,2009-12-22,176,1.0,1.0,3,3,0,2004-12-23,0,3,4,2,3.5,4.8,2.5,3.26,361868,175098,11673175
69,1604,6,2174,2011-10-31,48,3.0,2.0,5,2,1,1988-11-05,2,0,4,5,2.9,2.1,2.3,2.42,548929,313674,13069740
70,3723,2,1589,2010-03-22,39,1.0,0.0,4,4,0,1966-04-02,2,0,0,4,2.1,2.5,4.5,3.16,451857,85486,12212350
71,3728,0,668,2010-03-21,177,1.0,1.0,2,0,1,2005-03-22,0,3,0,2,4.9,2.9,3.5,3.8,329074,102836,10283575
72,6848,9,1724,2006-04-09,116,2.0,1.0,4,0,1,1952-04-22,1,1,1,4,3.8,2.2,2.0,2.54,358259,152260,8956480
73,1977,0,890,2011-07-20,116,1.0,1.0,3,0,1,1981-07-27,1,2,4,1,2.5,4.7,5.0,4.19,251557,43124,7187350
74,6327,0,1218,2007-06-13,51,2.0,2.0,4,3,0,1977-06-20,0,0,1,2,4.7,3.9,3.3,3.84,377246,138323,12574850
75,2525,2,1792,2011-02-21,41,1.0,1.0,4,2,1,1990-02-26,1,1,0,5,2.7,2.6,2.0,2.395,514532,250313,13906270
76,1205,7,1378,2012-02-19,192,2.0,2.0,4,1,0,2003-02-21,2,2,0,5,4.2,2.8,2.6,3.14,297525,208268,9917500
77,4646,7,898,2009-07-22,72,1.0,1.0,3,4,1,1980-07-29,0,2,4,3,2.4,3.1,2.1,2.49,345190,215744,8629750
78,1885,2,1928,2011-08-18,148,2.0,1.0,5,4,0,2001-08-20,1,0,1,3,3.4,4.1,2.4,3.175,466682,105003,11667050
79,5531,3,1233,2008-08-02,24,2.0,1.0,4,0,0,1975-08-11,1,3,0,5,2.2,2.0,4.6,2.84,245429,107989,9817150
80,6260,9,1618,2007-07-30,100,2.0,1.0,4,1,1,1967-08-09,2,2,4,1,4.0,4.3,4.1,4.17,370522,92631,9263050
81,1907,7,627,2011-08-12,49,1.0,1.0,2,2,0,1983-08-19,1,2,0,5,4.3,2.8,2.5,3.13,223975,92225,6587500
82,6932,9,1563,2005-08-16,43,2.0,1.0,4,2,0,1977-08-23,1,3,0,5,4.7,4.5,2.6,3.98,303780,195987,9799360
83,4616,7,1693,2009-07-30,187,2.0,2.0,4,3,1,2003-08-01,0,2,0,1,3.9,2.1,3.9,3.36,384045,166420,12801500
84,4967,8,1522,2009-03-30,85,1.0,1.0,4,4,0,1966-04-10,0,0,0,4,4.2,3.6,3.5,3.735,506181,174545,17454510
85,5557,0,1090,2008-07-21,171,1.0,1.0,3,4,1,1980-07-28,2,3,0,3,3.1,2.7,2.3,2.62,373632,98324,9832420
86,372,3,1085,2014-01-19,149,1.0,1.0,3,0,1,2008-01-21,0,2,0,4,2.8,3.8,4.6,3.733333333333333,387815,100545,14363500
87,4567,8,1687,2009-08-13,73,1.0,1.0,4,0,0,1996-08-16,2,2,4,3,4.6,4.6,2.0,3.43,411733,224582,12476770
88,5432,0,692,2008-09-12,62,1.0,1.0,2,3,1,1971-09-22,0,0,4,3,4.1,4.4,5.0,4.61,394491,124576,10381355
89,5605,8,1518,2008-07-03,145,1.0,1.0,4,2,1,1971-07-13,0,0,4,3,3.7,3.5,4.1,3.83,457606,158402,17600240
90,5720,0,1025,2008-05-10,125,1.0,1.0,3,4,0,1983-05-17,0,3,4,2,2.5,2.5,2.7,2.6,349916,142153,10934875
91,3268,6,2170,2010-07-20,121,3.0,2.0,5,2,1,2002-07-22,1,2,0,4,3.7,4.6,4.0,4.09,593864,284560,12372160
92,2197,3,969,2011-05-23,70,1.0,1.0,3,2,1,1994-05-27,0,1,1,3,3.4,2.4,4.0,3.18,337463,146234,11248750
93,5781,6,1546,2008-04-09,129,2.0,1.0,4,0,0,1981-04-16,0,0,0,5,2.5,4.3,2.8,3.16,441475,142411,14241140
94,4308,6,1709,2009-10-24,6,2.0,1.0,4,0,1,1989-10-29,1,3,4,4,4.3,3.7,2.0,3.2,467388,233694,10160600
95,655,8,1659,2013-04-07,103,1.0,1.0,4,1,1,1995-04-12,2,3,1,4,3.8,2.3,3.8,3.425,433251,216625,13539080
96,42,3,755,2015-01-09,8,1.0,1.0,2,3,0,1982-01-17,0,1,0,5,3.8,4.4,2.7,3.71,289649,42911,10727750
97,6098,0,1182,2007-10-24,50,1.0,1.0,3,3,1,1990-10-28,1,0,1,4,3.2,3.5,3.1,3.21,374948,39468,9867055
98,1137,0,735,2012-03-06,67,1.0,1.0,2,1,0,1998-03-10,0,3,1,3,2.7,4.0,4.0,3.61,284361,132702,9478710
99,639,3,1089,2013-04-19,0,1.0,1.0,3,3,1,1981-04-27,1,1,4,4,2.7,2.9,3.1,2.9,235305,45251,9050200
100,6989,9,1534,2005-01-04,6,2.0,1.0,4,4,1,1952-01-18,2,1,4,1,4.7,4.6,2.3,3.94,284552,63234,7904210
101,6267,2,1622,2007-07-26,147,1.0,1.0,4,2,1,2002-07-27,1,1,0,4,4.4,3.7,4.2,4.145,378840,209015,13063450
102,5453,6,2198,2008-09-04,71,3.0,2.0,5,4,1,1987-09-10,2,2,0,5,4.8,4.2,3.9,4.26,679249,122265,13584980
103,282,3,1293,2014-05-09,34,2.0,1.0,4,3,0,1975-05-19,0,1,1,4,3.1,2.2,3.8,2.95,419714,157393,13116050
104,4332,6,1641,2009-10-17,178,2.0,1.0,4,4,0,1980-10-24,2,0,0,4,4.6,4.4,3.1,3.94,460580,190239,10012600
105,6916,9,1950,2005-09-03,185,3.0,2.0,5,1,1,1964-09-13,2,3,4,4,5.0,4.2,3.4,4.16,411601,84741,12105920
106,1861,7,1245,2011-08-26,106,1.0,1.0,3,4,0,1983-09-02,2,3,4,0,4.1,2.9,3.5,3.5,201653,113123,4918375
107,4483,3,905,2009-09-12,144,1.0,1.0,3,2,0,1976-09-20,2,1,0,3,3.8,3.5,4.0,3.74,223393,77032,7703200
108,1190,6,1496,2012-02-24,135,2.0,1.0,4,2,0,1998-02-27,1,2,0,3,3.2,3.8,2.8,3.22,265641,137105,8569080
109,6892,9,1892,2005-11-22,38,3.0,2.0,5,1,1,1969-12-01,1,1,0,5,3.9,3.5,4.8,3.99,449425,133613,12146620
110,3319,9,1517,2010-07-05,40,2.0,1.0,4,2,0,1999-07-08,0,1,4,1,4.0,4.6,2.9,3.94,408507,116716,11671620
111,4796,0,1034,2009-05-30,73,1.0,1.0,3,1,1,1993-06-03,2,1,0,1,3.8,3.3,3.5,3.533333333333333,277702,46284,9256740
112,4778,9,1755,2009-06-06,142,2.0,1.0,4,2,1,1974-06-15,0,2,0,2,4.6,4.0,3.9,4.12,581720,193907,14915900
113,636,2,1622,2013-04-20,79,1.0,1.0,4,1,1,2006-04-22,1,3,4,5,2.2,3.3,2.2,2.475,406434,243860,13547790
114,615,3,1092,2013-05-13,89,1.0,1.0,3,3,0,2009-05-14,2,0,1,3,2.4,2.4,2.0,2.28,246391,57491,8213040
115,385,3,821,2014-01-02,34,1.0,1.0,3,1,0,2006-01-04,1,3,4,3,3.4,4.6,2.9,3.73,182600,65736,7304000
116,5598,6,1694,2008-07-07,72,2.0,1.0,4,2,0,1997-07-10,2,3,0,4,4.0,2.0,3.9,3.36,353291,114300,10390900
117,3724,2,1809,2010-03-22,177,2.0,1.0,5,2,0,1984-03-28,0,0,1,4,3.0,3.5,2.0,2.725,518585,230482,19206870
118,1584,7,1401,2011-11-05,20,2.0,2.0,4,4,1,1997-11-08,2,0,0,4,3.8,4.3,4.0,4.03,438477,229204,9965375
119,2510,7,1470,2011-02-26,99,2.0,2.0,4,0,0,1986-03-04,2,2,1,3,3.1,3.0,3.1,3.07,302694,172968,7207000
120,643,3,798,2013-04-15,166,1.0,1.0,2,4,0,1976-04-24,0,2,4,3,2.3,2.6,3.6,2.81,253975,145129,9070550
121,5879,3,764,2008-02-21,137,1.0,1.0,2,4,0,2000-02-23,1,1,1,3,3.3,3.2,2.1,2.9,158766,90723,5670200
122,5394,3,1135,2008-09-25,50,1.0,1.0,3,0,0,1985-10-01,2,2,1,5,4.9,2.1,3.8,3.45,296102,148051,9253200
123,4644,7,939,2009-07-23,74,1.0,1.0,3,0,0,1971-08-02,1,1,1,2,4.9,3.7,3.3,3.9,214700,38646,4294000
124,4526,7,1586,2009-08-27,59,2.0,2.0,4,3,1,1981-09-03,0,2,0,5,3.9,3.0,4.5,3.87,586956,200424,14316000
125,6578,8,1973,2007-01-29,63,2.0,1.0,5,2,1,1972-02-07,0,0,0,5,2.6,2.9,4.9,3.71,885666,116535,23307000
126,6387,3,1023,2007-05-11,44,1.0,1.0,3,4,1,1990-05-15,1,0,3,5,3.0,2.8,3.6,3.1,282319,38941,9735150
127,3031,3,884,2010-09-22,75,1.0,1.0,3,3,0,2006-09-23,0,2,1,5,2.3,3.8,2.4,2.93,283410,45346,11336400
128,3518,2,1640,2010-05-14,113,1.0,1.0,4,1,0,2005-05-15,0,1,1,3,2.5,3.1,3.5,3.05,495645,194718,17701600
129,6315,0,622,2007-06-20,60,1.0,1.0,2,3,0,1987-06-25,2,1,1,4,2.7,4.9,3.5,3.54,216906,72302,6572900
130,4193,2,1880,2009-11-23,90,2.0,1.0,5,4,1,1993-11-27,1,3,1,5,3.2,4.2,4.0,3.77,483229,214768,13423020
131,3758,6,2413,2010-03-13,166,4.0,2.0,6,0,0,2001-03-15,2,3,4,5,2.5,2.4,2.9,2.63,419905,170587,13122040
132,5041,8,1649,2009-02-28,169,1.0,1.0,4,1,0,1984-03-06,0,0,0,3,2.1,2.0,4.6,3.2,681808,113635,18939100
133,5908,9,1729,2008-02-08,144,2.0,1.0,4,4,1,1967-02-18,0,2,4,0,3.3,4.0,4.0,3.83,396911,128036,12803570
134,64,8,1942,2014-12-20,10,2.0,1.0,5,2,0,1977-12-29,1,3,0,3,4.6,3.1,2.9,3.533333333333333,320599,61654,12330740
135,279,3,711,2014-05-12,116,1.0,1.0,2,1,1,2002-05-15,2,3,1,4,2.6,3.2,2.8,2.9,249558,64402,8050270
136,487,3,885,2013-09-19,122,1.0,1.0,3,2,0,1981-09-27,1,1,1,5,4.6,2.7,2.1,3.09,237422,107919,7194600
137,4285,6,1688,2009-10-30,148,2.0,1.0,4,0,1,1994-11-03,1,2,0,5,2.0,2.5,4.4,3.11,547810,285318,11412700
138,6113,0,1236,2007-10-17,108,2.0,2.0,4,2,0,1970-10-26,0,1,0,0,3.7,3.5,4.4,4.01,481414,24071,12035355
139,2055,7,926,2011-06-29,98,1.0,1.0,3,2,0,1991-07-04,1,1,0,4,4.3,4.8,2.9,3.89,288834,68770,6877000
140,4884,6,1686,2009-04-30,57,2.0,1.0,4,0,0,1985-05-06,2,3,4,5,3.2,2.7,3.9,3.33,382817,196582,10346400
141,4103,7,1344,2009-12-16,129,2.0,2.0,4,1,0,1959-12-29,0,2,0,3,4.6,4.2,3.3,3.96,453999,259428,10809500
142,1035,6,1437,2012-04-02,104,2.0,1.0,4,2,0,1989-04-08,2,0,0,5,3.8,4.6,2.6,3.56,489629,102006,10200600
143,4408,7,1430,2009-10-02,17,2.0,2.0,4,0,1,1999-10-05,2,2,1,0,4.3,3.2,3.8,3.766666666666667,238887,106172,6635750
144,5307,0,1081,2008-10-26,85,1.0,1.0,3,2,0,1978-11-03,1,0,1,1,3.5,3.1,3.2,3.27,241416,6190,6190150
145,3886,7,1352,2010-02-09,1,2.0,2.0,4,3,1,1983-02-16,1,1,0,0,3.0,2.0,3.5,2.9,240768,123638,6507250
146,4821,6,1986,2009-05-19,109,3.0,2.0,5,3,0,1979-05-27,1,0,0,5,4.9,3.6,4.6,4.39,476717,227008,11350400
147,5231,2,1758,2008-12-05,164,1.0,1.0,4,4,1,1966-12-16,0,0,1,4,3.5,2.9,4.0,3.55,713565,231426,19285540
148,3077,7,607,2010-09-08,121,1.0,1.0,2,3,0,1964-09-19,2,3,0,4,4.2,4.9,2.2,3.61,175699,117133,5856625
149,5314,6,2139,2008-10-24,136,3.0,2.0,5,3,1,1987-10-30,2,2,4,4,2.3,4.1,2.4,2.88,424048,249440,12472000
150,3810,6,1488,2010-02-28,97,2.0,1.0,4,4,0,1983-03-07,2,0,4,3,2.3,5.0,4.1,3.83,405211,202606,8441900
151,6876,9,1645,2006-01-27,96,2.0,1.0,4,4,0,1980-02-03,1,3,1,3,3.7,4.5,2.1,3.58,250118,75793,7579320
152,4138,3,950,2009-12-07,177,1.0,1.0,3,3,1,1983-12-14,2,3,0,4,3.7,2.6,3.4,3.17,273252,146385,9759000
153,366,3,928,2014-01-25,90,1.0,1.0,3,4,1,2010-01-26,0,0,0,3,2.1,3.8,3.7,3.26,409985,62119,12423800
154,5201,9,1693,2008-12-17,145,2.0,1.0,4,3,1,1955-12-31,0,2,4,5,4.1,2.7,4.1,3.47,604335,108470,15495760
155,6032,9,1873,2007-12-02,0,3.0,2.0,5,2,1,1986-12-07,2,1,1,4,4.8,3.4,3.9,3.9,363735,198401,11022270
156,2891,0,721,2010-11-04,145,1.0,1.0,2,4,0,2000-11-06,2,3,4,4,3.4,2.8,4.6,3.88,273800,60844,7605550
157,1589,7,1190,2011-11-03,37,1.0,1.0,3,2,1,1982-11-10,1,2,0,3,4.3,4.1,3.8,4.04,342613,127484,7967750
158,2331,6,1593,2011-04-17,9,2.0,1.0,4,4,0,1994-04-21,2,0,4,3,3.2,3.2,4.2,3.6,402606,223670,8946800
159,3828,3,786,2010-02-22,181,1.0,1.0,2,0,1,1998-02-25,2,1,0,4,4.4,4.8,4.3,4.53,249610,83203,9244820
160,1492,3,1195,2011-12-06,93,1.0,1.0,3,1,0,1992-12-10,2,3,4,4,3.0,4.7,3.2,3.74,265183,29465,9821600
161,4947,9,1824,2009-04-03,187,3.0,2.0,5,3,0,1976-04-11,1,2,4,2,3.9,2.3,4.1,3.433333333333333,273570,76942,8549060
162,5811,6,1906,2008-03-26,81,3.0,2.0,5,0,1,2001-03-28,0,3,4,3,3.7,4.7,3.0,3.72,792637,206086,15852740
163,3022,0,656,2010-09-24,20,1.0,1.0,2,0,0,2001-09-26,0,0,4,2,4.5,2.3,2.3,2.96,280244,113849,8757635
164,6354,3,727,2007-05-28,84,1.0,1.0,2,0,0,1991-06-01,2,1,0,5,3.1,4.3,2.5,3.4,218816,100992,8415990
165,3374,0,931,2010-06-24,37,1.0,1.0,3,2,1,1977-07-02,2,1,4,5,2.0,3.6,4.0,3.32,367617,19871,9935595
166,6607,9,1898,2007-01-12,108,3.0,2.0,5,1,1,1969-01-21,0,1,1,5,3.9,2.7,4.4,3.51,581625,332357,16617860
167,6303,2,1698,2007-06-27,15,1.0,1.0,4,2,0,1967-07-07,1,3,0,5,5.0,4.9,3.1,4.215,359949,198593,12412050
168,6355,8,1926,2007-05-27,193,2.0,1.0,5,1,1,1990-05-31,0,2,1,5,4.2,4.9,3.1,3.88,633655,203675,22630540
169,2746,7,1481,2010-12-17,144,2.0,2.0,4,4,1,1972-12-26,0,0,4,0,3.7,4.9,2.3,3.5,485174,178227,9901500
170,6186,2,1506,2007-09-06,122,1.0,1.0,4,2,0,1974-09-14,1,1,1,5,3.9,3.4,2.1,3.055,417996,177648,10449910
171,117,3,1020,2014-11-01,95,1.0,1.0,3,2,0,1990-11-07,1,3,1,5,4.2,2.4,4.1,3.45,206664,31794,7948600
172,5319,3,889,2008-10-21,196,1.0,1.0,3,0,0,1987-10-27,2,1,0,5,5.0,2.4,2.0,3.06,300256,136480,9098680
173,1364,3,1015,2012-01-11,147,1.0,1.0,3,2,1,1977-01-19,1,0,4,3,3.9,4.4,2.0,3.53,275314,66743,8342850
174,2493,8,1682,2011-03-04,78,1.0,1.0,4,0,0,1976-03-12,0,0,0,3,3.7,3.0,3.5,3.435,690507,111974,18662350
175,630,5,869,2013-05-01,39,1.0,1.0,3,2,0,1995-05-06,2,2,1,5,4.3,4.8,3.3,4.2,220661,138935,8172630
176,1041,7,1445,2012-03-29,20,2.0,2.0,4,2,0,1988-04-04,1,3,1,2,4.9,2.9,2.5,3.34,216691,87848,5856500
177,234,2,1919,2014-06-25,178,2.0,1.0,5,4,1,2001-06-28,1,3,0,5,2.4,5.0,3.3,3.41,544054,117633,14704160
178,1993,0,1243,2011-07-17,141,2.0,2.0,4,3,1,1975-07-26,0,3,4,1,3.9,4.3,2.2,3.13,440895,26721,13360440
179,3088,7,857,2010-09-05,158,1.0,1.0,2,3,0,1993-09-09,1,1,4,2,3.6,2.4,3.4,3.16,236556,59139,4928250
180,3680,7,1055,2010-04-03,174,1.0,1.0,3,1,1,1962-04-15,2,3,0,2,3.7,2.3,4.8,3.72,226769,117042,7315125
181,2015,6,1778,2011-07-10,94,3.0,2.0,5,2,0,2003-07-12,2,2,0,4,3.1,3.9,4.4,3.86,340948,153976,10998320
182,2118,7,851,2011-06-15,124,1.0,1.0,2,1,0,1970-06-25,2,1,4,0,3.8,4.8,2.6,3.62,181073,39364,3936375
183,5855,3,1021,2008-03-06,82,1.0,1.0,3,4,1,2004-03-07,2,2,1,4,2.0,2.5,4.6,2.98,276053,147228,9201770
